,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.138,0.384,0.01,0.006,0.042,0.35,0.138,0.578,0.064,0.076,0.298,0.524,0.424,0.462,0.632,0.134,0.056,0.226,0.048,0.044,0.392,0.26,0.014
1,0.138,1.0,0.01,0.104,0.636,0.288,0.824,0.646,0.534,0.944,0.318,0.054,0.014,0.534,0.12,0.054,0.496,0.446,0.044,0.018,0.376,0.188,0.764,0.388
2,0.384,0.01,1.0,0.022,0.208,0.018,0.138,0.282,0.424,0.02,0.432,0.366,0.072,0.296,0.07,0.226,0.016,0.058,0.114,0.004,0.264,0.776,0.13,0.188
3,0.01,0.104,0.022,1.0,0.212,0.608,0.03,0.22,0.048,0.102,0.466,0.246,0.024,0.012,0.03,0.216,0.056,0.436,0.19,0.482,0.576,0.136,0.138,0.748
4,0.006,0.636,0.208,0.212,1.0,0.37,0.326,0.284,0.266,0.794,0.69,0.244,0.0,0.088,0.02,0.1,0.33,0.49,0.02,0.002,0.506,0.328,0.508,0.632
5,0.042,0.288,0.018,0.608,0.37,1.0,0.08,0.042,0.256,0.258,0.382,0.106,0.034,0.228,0.082,0.28,0.096,0.926,0.008,0.482,0.242,0.112,0.502,0.478
6,0.35,0.824,0.138,0.03,0.326,0.08,1.0,0.69,0.354,0.72,0.072,0.004,0.14,0.488,0.398,0.026,0.644,0.15,0.01,0.112,0.25,0.146,0.44,0.128
7,0.138,0.646,0.282,0.22,0.284,0.042,0.69,1.0,0.528,0.508,0.43,0.006,0.202,0.386,0.266,0.018,0.336,0.078,0.218,0.116,0.666,0.496,0.478,0.422
8,0.578,0.534,0.424,0.048,0.266,0.256,0.354,0.528,1.0,0.382,0.476,0.208,0.038,0.708,0.028,0.438,0.048,0.326,0.166,0.018,0.488,0.804,0.848,0.31
9,0.064,0.944,0.02,0.102,0.794,0.258,0.72,0.508,0.382,1.0,0.352,0.138,0.006,0.328,0.114,0.032,0.512,0.43,0.018,0.05,0.35,0.124,0.652,0.402
10,0.076,0.318,0.432,0.466,0.69,0.382,0.072,0.43,0.476,0.352,1.0,0.048,0.014,0.116,0.0,0.02,0.044,0.41,0.264,0.022,0.904,0.708,0.428,0.912
11,0.298,0.054,0.366,0.246,0.244,0.106,0.004,0.006,0.208,0.138,0.048,1.0,0.214,0.018,0.024,0.708,0.164,0.158,0.114,0.222,0.026,0.186,0.134,0.042
12,0.524,0.014,0.072,0.024,0.0,0.034,0.14,0.202,0.038,0.006,0.014,0.214,1.0,0.046,0.752,0.478,0.206,0.02,0.54,0.188,0.06,0.006,0.016,0.01
13,0.424,0.534,0.296,0.012,0.088,0.228,0.488,0.386,0.708,0.328,0.116,0.018,0.046,1.0,0.03,0.232,0.05,0.242,0.418,0.04,0.14,0.39,0.65,0.036
14,0.462,0.12,0.07,0.03,0.02,0.082,0.398,0.266,0.028,0.114,0.0,0.024,0.752,0.03,1.0,0.208,0.608,0.076,0.278,0.562,0.032,0.014,0.008,0.0
15,0.632,0.054,0.226,0.216,0.1,0.28,0.026,0.018,0.438,0.032,0.02,0.708,0.478,0.232,0.208,1.0,0.046,0.352,0.272,0.146,0.002,0.214,0.356,0.006
16,0.134,0.496,0.016,0.056,0.33,0.096,0.644,0.336,0.048,0.512,0.044,0.164,0.206,0.05,0.608,0.046,1.0,0.202,0.018,0.578,0.072,0.004,0.15,0.012
17,0.056,0.446,0.058,0.436,0.49,0.926,0.15,0.078,0.326,0.43,0.41,0.158,0.02,0.242,0.076,0.352,0.202,1.0,0.0,0.316,0.244,0.224,0.664,0.428
18,0.226,0.044,0.114,0.19,0.02,0.008,0.01,0.218,0.166,0.018,0.264,0.114,0.54,0.418,0.278,0.272,0.018,0.0,1.0,0.042,0.372,0.254,0.106,0.19
19,0.048,0.018,0.004,0.482,0.002,0.482,0.112,0.116,0.018,0.05,0.022,0.222,0.188,0.04,0.562,0.146,0.578,0.316,0.042,1.0,0.09,0.0,0.042,0.124
20,0.044,0.376,0.264,0.576,0.506,0.242,0.25,0.666,0.488,0.35,0.904,0.026,0.06,0.14,0.032,0.002,0.072,0.244,0.372,0.09,1.0,0.654,0.448,0.916
21,0.392,0.188,0.776,0.136,0.328,0.112,0.146,0.496,0.804,0.124,0.708,0.186,0.006,0.39,0.014,0.214,0.004,0.224,0.254,0.0,0.654,1.0,0.45,0.488
22,0.26,0.764,0.13,0.138,0.508,0.502,0.44,0.478,0.848,0.652,0.428,0.134,0.016,0.65,0.008,0.356,0.15,0.664,0.106,0.042,0.448,0.45,1.0,0.37
23,0.014,0.388,0.188,0.748,0.632,0.478,0.128,0.422,0.31,0.402,0.912,0.042,0.01,0.036,0.0,0.006,0.012,0.428,0.19,0.124,0.916,0.488,0.37,1.0
