,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.0,0.963,0.951,0.12,0.669,0.833,0.814,0.805,0.056,0.124,0.582,0.433,0.177,0.979,0.568,0.095,0.92,0.166,0.802,0.082,0.603,0.724,0.223,0.655,0.742,0.471,0.752,0.077,0.539,0.611,0.833,0.958,0.846,1.0,0.983,0.643,0.918,0.834,0.516,0.181
1,0.963,1.0,0.873,0.043,0.46,0.83,0.814,0.675,0.015,0.03,0.724,0.427,0.109,0.929,0.762,0.17,0.959,0.349,0.892,0.014,0.489,0.893,0.354,0.472,0.58,0.294,0.637,0.054,0.372,0.587,0.817,0.878,0.787,0.947,0.995,0.561,0.933,0.712,0.368,0.267
2,0.951,0.873,1.0,0.274,0.796,0.549,0.565,0.935,0.097,0.191,0.395,0.22,0.367,0.993,0.562,0.002,0.751,0.14,0.849,0.212,0.804,0.625,0.068,0.698,0.769,0.447,0.906,0.041,0.729,0.799,0.599,0.955,0.646,0.937,0.927,0.866,0.978,0.963,0.732,0.363
3,0.12,0.043,0.274,1.0,0.667,0.086,0.093,0.473,0.944,0.97,0.117,0.435,0.946,0.195,0.219,0.684,0.008,0.488,0.144,0.987,0.676,0.051,0.469,0.632,0.516,0.717,0.526,0.838,0.786,0.548,0.118,0.257,0.205,0.122,0.059,0.638,0.195,0.421,0.777,0.73
4,0.669,0.46,0.796,0.667,1.0,0.312,0.356,0.957,0.509,0.621,0.057,0.28,0.669,0.748,0.18,0.151,0.418,0.065,0.438,0.593,0.906,0.194,0.044,0.911,0.918,0.772,0.914,0.357,0.987,0.735,0.357,0.798,0.563,0.667,0.588,0.945,0.684,0.914,0.971,0.402
5,0.833,0.83,0.549,0.086,0.312,1.0,1.0,0.437,0.234,0.182,0.897,0.829,0.01,0.693,0.627,0.511,0.946,0.472,0.583,0.102,0.167,0.811,0.631,0.508,0.586,0.493,0.302,0.361,0.268,0.187,1.0,0.697,0.939,0.807,0.836,0.232,0.602,0.39,0.184,0.089
6,0.814,0.814,0.565,0.093,0.356,1.0,1.0,0.479,0.244,0.207,0.887,0.825,0.016,0.675,0.549,0.467,0.948,0.446,0.548,0.091,0.177,0.775,0.583,0.551,0.594,0.522,0.311,0.372,0.254,0.197,0.999,0.714,0.949,0.833,0.811,0.261,0.568,0.442,0.21,0.094
7,0.805,0.675,0.935,0.473,0.957,0.437,0.479,1.0,0.312,0.429,0.171,0.242,0.55,0.886,0.291,0.046,0.568,0.045,0.624,0.433,0.896,0.356,0.006,0.874,0.9,0.651,0.949,0.215,0.92,0.769,0.425,0.917,0.642,0.807,0.75,0.937,0.831,0.983,0.901,0.344
8,0.056,0.015,0.097,0.944,0.509,0.234,0.244,0.312,1.0,0.984,0.33,0.658,0.806,0.072,0.198,0.86,0.086,0.616,0.057,0.95,0.455,0.114,0.669,0.582,0.506,0.762,0.287,0.975,0.605,0.326,0.229,0.156,0.314,0.063,0.03,0.398,0.045,0.232,0.598,0.66
9,0.124,0.03,0.191,0.97,0.621,0.182,0.207,0.429,0.984,1.0,0.22,0.593,0.843,0.128,0.14,0.791,0.06,0.533,0.054,0.978,0.525,0.054,0.574,0.676,0.563,0.807,0.416,0.932,0.705,0.385,0.234,0.222,0.357,0.109,0.045,0.491,0.109,0.34,0.712,0.6
10,0.582,0.724,0.395,0.117,0.057,0.897,0.887,0.171,0.33,0.22,1.0,0.796,0.11,0.48,0.81,0.657,0.824,0.769,0.633,0.174,0.09,0.908,0.855,0.231,0.258,0.252,0.141,0.474,0.04,0.222,0.9,0.465,0.676,0.617,0.673,0.093,0.458,0.198,0.018,0.353
11,0.433,0.427,0.22,0.435,0.28,0.829,0.825,0.242,0.658,0.593,0.796,1.0,0.25,0.275,0.359,0.825,0.654,0.58,0.192,0.483,0.042,0.508,0.811,0.565,0.535,0.704,0.072,0.795,0.277,0.008,0.815,0.379,0.802,0.428,0.441,0.096,0.162,0.146,0.2,0.193
12,0.177,0.109,0.367,0.946,0.669,0.01,0.016,0.55,0.806,0.843,0.11,0.25,1.0,0.298,0.339,0.554,0.028,0.537,0.315,0.945,0.811,0.146,0.409,0.551,0.465,0.563,0.651,0.676,0.765,0.772,0.017,0.308,0.081,0.166,0.142,0.754,0.346,0.546,0.825,0.862
13,0.979,0.929,0.993,0.195,0.748,0.693,0.675,0.886,0.072,0.128,0.48,0.275,0.298,1.0,0.548,0.027,0.824,0.144,0.839,0.142,0.759,0.67,0.124,0.687,0.755,0.461,0.866,0.043,0.653,0.746,0.695,0.973,0.729,0.964,0.959,0.76,0.964,0.92,0.615,0.277
